suite,group,q_mods,method,n_samples,qerror_mean,qerror_std,selectivity_mae_mean,quantile_mae_mean,improvement_vs_prior
main,main,1,Prior,128,1.1875094632479393,0.2587734170203411,0.03797947996272639,0.04278737934027778,0.0
main,main,1,LinInterp,128,1.1628591850439198,0.16981466977931675,0.03878379416809518,0.04353845751574176,2.0757963592642734
main,main,1,FeedAvg,128,1.1983638997066737,0.26514143151239805,0.039905894544270834,0.04499555091646471,-0.9140505229361795
main,main,1,STHoles,128,1.0984423039623359,0.1072082780106283,0.023591822929521493,0.02686434195204353,7.500332590360766
main,main,1,QuickSel-H,128,1.1930707671580707,0.12998837401238733,0.03134350763878404,0.03555676155828053,-0.46831659723542696
main,main,1,ISOMER,128,1.0920605234304739,0.09766148723277149,0.02044468484227453,0.02345427958982563,8.037741405142526
main,main,1,OASIS,128,1.1496963603689034,0.1062028623518817,0.03529345161457881,0.04070204005605291,3.184235919738591
main,main,3,Prior,128,1.4601443953248185,0.6015740129091054,0.09523841248440369,0.10596578645833334,0.0
main,main,3,LinInterp,128,1.3582176481121502,0.36695855848371983,0.08702836536595644,0.09738309700514175,6.980593668614131
main,main,3,FeedAvg,128,1.483792667627471,0.6162831774873729,0.09868031359478938,0.1096818140082923,-1.6195844998872067
main,main,3,STHoles,128,1.2159423524686914,0.18192887144516373,0.057295780523725574,0.06416715198023241,16.724513249376464
main,main,3,QuickSel-H,128,1.3306003798389483,0.15591981611130543,0.06369582687444648,0.07136685769972737,8.872000324122215
main,main,3,ISOMER,128,1.183501577100669,0.15805434742140004,0.040325582298740587,0.04667224146418147,18.94626443178646
main,main,3,OASIS,128,1.1861164827847743,0.1650912508924465,0.04193045854611275,0.04802345521437321,18.767179014448427
main,main,5,Prior,128,1.7490054297616384,0.8274787090159496,0.13107653022487226,0.14476459809027778,0.0
main,main,5,LinInterp,128,1.6178413140824333,0.5666822095265264,0.12570342376741744,0.13887449635819957,7.499354401494382
main,main,5,FeedAvg,128,1.7876472251525866,0.8635082928742973,0.1346974950885525,0.1490107212874427,-2.2093582291630964
main,main,5,STHoles,128,1.3346473276880735,0.23580910956183895,0.07664222990077306,0.08491403470222035,23.691070080327613
main,main,5,QuickSel-H,128,1.4783035180439354,0.2916338293606063,0.08548060456687029,0.09388906305186771,15.477476919816958
main,main,5,ISOMER,128,1.2468722420450127,0.2300028349363071,0.051352900596885076,0.05681689152241345,28.709641443769474
main,main,5,OASIS,128,1.2146829554854002,0.1386290667181211,0.04805055915144993,0.05414472245703319,30.550075213263224
main,main,10,Prior,128,2.6329548932817866,1.6010924886808189,0.1895342357199796,0.20752058680555555,0.0
main,main,10,LinInterp,128,2.280706116129973,1.1295274426104704,0.1695401785184323,0.18683146857209038,13.378458478366145
main,main,10,FeedAvg,128,2.7506367016176734,1.749647001589242,0.1972536496276418,0.21565217668249437,-4.469571758945137
main,main,10,STHoles,128,1.7151280504264657,0.5355366907823766,0.1053865411338538,0.11526937998158884,34.85919356982666
main,main,10,QuickSel-H,128,1.995792345945783,0.8267140168791968,0.11354561432591168,0.12576309078960238,24.19952384910882
main,main,10,ISOMER,128,1.5442573548646479,0.5528640950794198,0.07156671105393478,0.08026696622296679,41.348886803759726
main,main,10,OASIS,128,1.2813300632673235,0.2665652767880823,0.049425895578629586,0.05457880150936707,51.33490260175939
main,main,15,Prior,128,2.9952458941683053,1.8294277843023985,0.20261209417833628,0.23029027256944445,0.0
main,main,15,LinInterp,128,2.5303077245454855,1.2511436993690774,0.18261895598050926,0.2084493052702545,15.522537582909198
main,main,15,FeedAvg,128,3.1401429019999942,1.9899283306838527,0.21001288906995533,0.2385860233608182,-4.837566361873695
main,main,15,STHoles,128,1.7688271792456383,0.6226726799340373,0.10380618642341938,0.11899034184422541,40.94551026045922
main,main,15,QuickSel-H,128,2.0528018296286876,0.9658645210518345,0.11329620310237418,0.12837604046847667,31.46466426594694
main,main,15,ISOMER,128,1.6487313732679012,0.7726417525066535,0.0829176776055246,0.0942866430267673,44.95505773072073
main,main,15,OASIS,128,1.352742479177741,0.3545079922510811,0.05397710010172576,0.062157876602592456,54.83701415594931
main,main,20,Prior,128,3.0280855899421226,1.9658907350582477,0.21447346148391055,0.23691276388888888,0.0
main,main,20,LinInterp,128,2.5551058504350146,1.408406834804607,0.19402038924389897,0.2147315088892997,15.619761247110203
main,main,20,FeedAvg,128,3.160620717133206,2.116341595489528,0.22155006386408677,0.24474112872133885,-4.376861989347418
main,main,20,STHoles,128,1.728058483801406,0.6427926297279948,0.1043056588282041,0.1153107287944166,42.93231044917607
main,main,20,QuickSel-H,128,2.0480748298460605,1.15807770460894,0.1145928248132,0.12650691724917842,32.364037639860555
main,main,20,ISOMER,128,1.6678887808558085,0.8165778980539294,0.09071858288606935,0.10179218102859072,44.91936468388637
main,main,20,OASIS,128,1.2760344756330846,0.2812433219914521,0.046109330738556935,0.05225816763163604,57.86002615409976
main,main,25,Prior,128,3.3832912777098714,2.2774325884995057,0.22339486630740565,0.24770024392361112,0.0
main,main,25,LinInterp,128,2.7963834420131444,1.6522398268752418,0.19601790755292453,0.21860632200723962,17.347245256813988
main,main,25,FeedAvg,128,3.5954019134293156,2.53894325260309,0.23222882131478043,0.2578437695141353,-6.26935780306272
main,main,25,STHoles,128,1.866905546938231,0.9084184835050444,0.10397667490379582,0.11622439051581544,44.81983980398142
main,main,25,QuickSel-H,128,2.2160245396738896,1.2087002194303018,0.11797058801390964,0.13079505782917444,34.50092357481255
main,main,25,ISOMER,128,1.732519932352228,1.0421844710044144,0.08429157856461146,0.09454243330554302,48.79187778579443
main,main,25,OASIS,128,1.303095435558767,0.3126873180350164,0.04568060469658253,0.05305110710180797,61.484385215545956
main,main,30,Prior,128,3.220228280220048,2.2240718277243374,0.20351530290847905,0.2305380390625,0.0
main,main,30,LinInterp,128,2.5904388700940415,1.4909801669574352,0.18132325690970863,0.2057544041562824,19.557290829175976
main,main,30,FeedAvg,128,3.3913175087867526,2.421935823324626,0.21148715619538763,0.23938441345646613,-5.312953420650459
main,main,30,STHoles,128,1.658374205486037,0.6598179580377812,0.09057802187621836,0.10316701881116049,48.50134645197529
main,main,30,QuickSel-H,128,1.9621196690838985,1.0199123772900278,0.09769833469220872,0.11059504635183122,39.06892622687542
main,main,30,ISOMER,128,1.7156476614562957,0.944329589748486,0.09002545960409802,0.10278587998288936,46.72279378469839
main,main,30,OASIS,128,1.2681222921534991,0.2722817108668171,0.04161052307518197,0.04851401032128478,60.6201119360754
